"id","filename","description","main","created","country_id","thumbnail","long_thumb","color_palette","height","screenshot","stat_count","story_count","viz_count","palette_image","screenshot_missing","total_stats"
153,"sao_tome_and_principe.png","",False,"2016-07-06 02:10:51.578-04",170,"thumbnails/sao_tome_and_principe.png","long_thumbs/sao_tome_and_principe.png","[(102, 111, 126), (248, 249, 249), (15, 6, 9)]",831,"screenshots/sao_tome_and_principe.png",1,0,0,"palettes/sao_tome_and_principe.png",NULL,1
154,"senegal.png","",False,"2016-07-06 02:12:45.824-04",172,"thumbnails/senegal.png","long_thumbs/senegal.png","[(244, 248, 251), (44, 83, 143), (194, 140, 61)]",3089,"screenshots/senegal.png",12,6,2,"palettes/senegal.png",NULL,20
155,"serbia.png","",False,"2016-07-06 02:12:49.184-04",173,"thumbnails/serbia.png","long_thumbs/serbia.png","[(251, 252, 252), (195, 198, 195), (61, 86, 139)]",1646,"screenshots/serbia.png",0,4,0,"palettes/serbia.png",NULL,4
160,"slovenia.png","",False,"2016-07-06 02:14:30.529-04",178,"thumbnails/slovenia.png","long_thumbs/slovenia.png","[(192, 201, 209), (79, 79, 80), (253, 254, 254)]",1745,"screenshots/slovenia.png",6,0,1,"palettes/slovenia.png",NULL,7
161,"solomon_islands.png","",False,"2016-07-06 02:14:36.85-04",179,"thumbnails/solomon_islands.png","long_thumbs/solomon_islands.png","[(248, 250, 250), (19, 75, 119), (45, 155, 194)]",1341,"screenshots/solomon_islands.png",0,0,0,"palettes/solomon_islands.png",NULL,0
162,"south_africa.png","",False,"2016-07-06 02:15:15.573-04",180,"thumbnails/south_africa.png","long_thumbs/south_africa.png","[(249, 249, 246), (9, 9, 9), (240, 189, 66)]",3972,"screenshots/south_africa.png",6,0,1,"palettes/south_africa.png",NULL,7
164,"south_sudan.png","",False,"2016-07-06 02:15:43.867-04",182,"thumbnails/south_sudan.png","long_thumbs/south_sudan.png","[(248, 247, 244), (41, 86, 97), (211, 201, 181)]",1794,"screenshots/south_sudan.png",2,0,0,"palettes/south_sudan.png",NULL,2
165,"spain.png","",False,"2016-07-06 02:15:52.669-04",183,"thumbnails/spain.png","long_thumbs/spain.png","[(250, 250, 250), (124, 69, 68), (171, 193, 175)]",800,"screenshots/spain.png",5,0,0,"palettes/spain.png",NULL,5
215,"oman.png","",False,"2016-07-06 22:51:08.903-04",152,"thumbnails/oman.png","long_thumbs/oman.png","[(40, 56, 59), (116, 117, 117), (238, 238, 234)]",800,"screenshots/oman.png",4,3,4,"palettes/oman.png",NULL,11
220,"united_states_-_nass.png","",False,"2016-07-06 22:51:42.651-04",205,"thumbnails/united_states_-_nass.png","long_thumbs/united_states_-_nass.png","[(6, 44, 74), (246, 247, 247), (147, 145, 96)]",996,"screenshots/united_states_-_nass.png",0,0,0,"palettes/united_states_-_nass.png",NULL,0
234,"austria.png","",False,"2016-07-07 01:23:55.975-04",31,"thumbnails/austria.png","long_thumbs/austria.png","[(252, 252, 252), (104, 56, 83), (186, 203, 209)]",2191,"screenshots/austria.png",9,2,5,"palettes/austria.png",NULL,16
235,"azerbaijan.png","",False,"2016-07-07 01:23:55.976-04",32,"thumbnails/azerbaijan.png","long_thumbs/azerbaijan.png","[(250, 250, 249), (31, 111, 168), (105, 87, 65)]",1991,"screenshots/azerbaijan.png",0,0,0,"palettes/azerbaijan.png",NULL,0
237,"bahrain.png","",False,"2016-07-07 01:23:55.977-04",34,"thumbnails/bahrain.png","long_thumbs/bahrain.png","[(245, 246, 244), (168, 78, 52), (199, 197, 183)]",1127,"screenshots/bahrain.png",0,0,0,"palettes/bahrain.png",NULL,0
238,"bangladesh.png","",False,"2016-07-07 01:23:55.978-04",35,"thumbnails/bangladesh.png","long_thumbs/bangladesh.png","[(246, 250, 243), (73, 111, 24), (199, 209, 134)]",1154,"screenshots/bangladesh.png",2,0,0,"palettes/bangladesh.png",NULL,2
239,"barbados.png","",False,"2016-07-07 01:23:55.978-04",36,"thumbnails/barbados.png","long_thumbs/barbados.png","[(212, 222, 239), (61, 70, 123), (216, 165, 57)]",1407,"screenshots/barbados.png",5,0,0,"palettes/barbados.png",NULL,5
240,"belarus.png","",False,"2016-07-07 01:23:55.979-04",37,"thumbnails/belarus.png","long_thumbs/belarus.png","[(232, 252, 224), (37, 114, 38), (154, 87, 75)]",2838,"screenshots/belarus.png",5,5,0,"palettes/belarus.png",NULL,10
